,computer,esp,graph,human,interface,minor,response,survey,system,time,tree,user
computer,1.0,-0.09024449273488847,0.17731618357648452,0.31039981695933744,0.43323825794501164,0.03917717554272142,0.5171896027561779,0.540316524025704,0.19277956436882757,0.5171896027561778,0.26132791157443613,0.4747238101543796
esp,-0.09024449273488847,1.0,0.07704982564694035,0.565070964627644,0.4721305002246705,0.01702379604625425,-0.014683608648074173,-0.004028088289230424,0.8625769483851105,-0.01468360864807398,0.11355573765100826,0.42785200165799797
graph,0.17731618357648452,0.07704982564694035,1.0,0.47984994162711714,0.12162607232164946,0.8459067530317453,0.028850973258346662,0.4460673375150816,0.11855596496847168,0.028850973258346624,0.6015033595975855,-0.021674003505905037
human,0.31039981695933744,0.565070964627644,0.47984994162711714,1.0,0.4462478370401306,0.10602058434886921,-0.09144639450503737,-0.025086077927197768,0.5825187213187926,-0.09144639450503722,0.7072010043597597,0.06869818419491487
interface,0.43323825794501164,0.4721305002246705,0.12162607232164946,0.4462478370401306,1.0,0.026872707780006822,-0.02317863320751712,-0.006358490151929247,0.220931864371927,-0.023178633207516886,0.17925203910734977,0.4458049735502872
minor,0.03917717554272142,0.01702379604625425,0.8459067530317453,0.10602058434886921,0.026872707780006822,1.0,0.006374486643702366,0.5036966989840161,0.026194382021554923,0.006374486643702301,0.4230468097189653,-0.004788768982827921
response,0.5171896027561779,-0.014683608648074173,0.028850973258346662,-0.09144639450503737,-0.02317863320751712,0.006374486643702366,1.0,0.49996808353806854,0.28001335892167556,1.0000000000000002,0.042520453781601124,0.8241378980887101
survey,0.540316524025704,-0.004028088289230424,0.4460673375150816,-0.025086077927197768,-0.006358490151929247,0.5036966989840161,0.49996808353806854,1.0,0.2956428672299948,0.49996808353806865,0.011664444758468343,0.4100988699909865
system,0.19277956436882757,0.8625769483851105,0.11855596496847168,0.5825187213187926,0.220931864371927,0.026194382021554923,0.28001335892167556,0.2956428672299948,1.0,0.28001335892167567,0.1747273266601674,0.5105392763896359
time,0.5171896027561778,-0.01468360864807398,0.028850973258346624,-0.09144639450503722,-0.023178633207516886,0.006374486643702301,1.0000000000000002,0.49996808353806865,0.28001335892167567,1.0,0.042520453781601124,0.8241378980887102
tree,0.26132791157443613,0.11355573765100826,0.6015033595975855,0.7072010043597597,0.17925203910734977,0.4230468097189653,0.042520453781601124,0.011664444758468343,0.1747273266601674,0.042520453781601124,1.0,-0.03194306327494254
user,0.4747238101543796,0.42785200165799797,-0.021674003505905037,0.06869818419491487,0.4458049735502872,-0.004788768982827921,0.8241378980887101,0.4100988699909865,0.5105392763896359,0.8241378980887102,-0.03194306327494254,1.0
